terms,subtopic
You will not impersonate any person or entity or falsely state or otherwise misrepresent your affiliation with a person or entity,share or transfer data
"You are fully able and competent to enter into the terms, conditions, obligations, affirmations, representations and warranties set forth in these Terms and to abide by and comply with these Terms",share or transfer data
"engage in any other action that, in the judgment of exposes it or any third party to potential liability or detriment of any type.",share or transfer data
"At the moment of the upload on the Website of any Digital Contents, or more generally, or the sharing of any Contributions, Users acknowledge and warrant to be the author of such a Digital Content or Contribution, or to be authorized by the proprietor to dispose of such Digital Content or Contribution, not to be associated to, or any other private or public company with reference to the protection for and on behalf of authors or editors of data and contents, nor to have appointed any of such companies, and that such Digital Contents or Contributions in any of its part is not protected nor administrated or any of the above said companies, and that therefore no fees are due that such Digital Content or Contribution is not illicit, defamatory, libellous, offensive, indecent, vulgar, pornographic, racist or discriminatory, contrary to law or public order, or contrary to morality or damaging any third parties rights that the publication of such Digital Content or Contribution on the Website, and the relevant use pursuant to this and the functions from time to time available on the Website, does not violate any third parties' rights, with particular reference to any copyright and intellectual property's rights.",share or transfer data
"At the moment of uploading any Digital Contents or Contributions on the Website, Users warrant and guarantee that such documents are not subject to any, and that do not contain any software that avoids the unlimited visualisation, use, or copy.",share or transfer data
"Users, moreover, warrant and guarantee that the Digital Contents and Contributions made available on the Website through its account do not contain virus, adware, spyware, worms or any other program or malware codes.",share or transfer data
"Users undertake to indemnify and hold its employees, shareholders, directors and consultants harmless from any claim arising from any other Users or third parties included or any of the above said companies for misconducts and violation of any third parties' rights, with particular but not limited reference to copyright and intellectual property rights, related to the Digital Contents and Contributions uploaded, and more generally to any Contributions made available on the Website through its account, and concerning asserted fees or indemnifications due relating to the above said Digital Contents and Contributions, other than from any damages, costs, burden and expenses included legal expenses that its employees, shareholders, directors and consultants suffered.",share or transfer data
"not to offer or make commercial proposals, and not to send advertising and spam to other Users of the Website included, but not limited to, promotional contents, mail andemails with commercial and marketing purposes, emails or text messages chains, informational announcements, except for what related to the modality of promotion of the Digital Contents expressly provided and allowed for the specific Services and better described on the Website.",share or transfer data
"Not to upload, publish, distribute, contents for purposes related to marketing, advertising, spam, search engine ranking, or upload, publish, distribute contents with HTML format with links or redirects, or any other commercial content, except where expressly allowed on the Website.",share or transfer data
"Not to use, for any reason, the Website for illicit purposes, or in violation of any local, national or international law in force, herein included, but not limited to, law provisions concerning proprietary rights, intellectual property, copyright and data protection's rights.",share or transfer data
Not to cancel from the Website or any other contents therein uploaded the copyrights' information.,share or transfer data
"Not to threaten or harass other Users of the Website, or collect or try to collect, personal information of other Users without their express consent.",share or transfer data
"Not to remove, disable, damage, circumvent or interfere in any other manner with the functions relating to the security of the Website or its contents, with the functions that prevent or restrict the use or the copy of any content available through the Website, or with the functions that strengthen the limitation of the use of the Website or the contents therein available.",share or transfer data
"Not to use any robot, spider, scraper or any other automatic method to access to the Website or its contents, or for any reasons to bypass the security measures provided to avoid or restrict the access to the Website and its contents.",share or transfer data
"We share your personal data with your consent or as necessary to complete any transaction or provide any product you have requested or authorized and we share your content with third parties when you tell us to do so, such as when you send an email to a friend, share photos and documents on link accounts with another service.",share or transfer data
"When you provide payment data to make a purchase, we will share payment data with banks and other entities that process payment transactions or provide other financial services, and for fraud prevention and credit risk reduction.",share or transfer data
We also share personal data with vendors or agents working on our behalf for the purposes described in this statement.,share or transfer data
"Companies we've hired to provide customer service support or assist in protecting and securing our systems and services may need access to personal data to provide those functions and In such cases, these companies must abide by our data privacy and security requirements and are not allowed to use personal data they receive from us for any other purpose and We may also disclose personal data as part of a corporate transaction such as a merger or sale of assets.",share or transfer data
"we will retain, access, transfer, disclose, and preserve personal data, including your content such as the content of your emails or files in private folders.",share or transfer data
"Comply with applicable law or respond to valid legal process, including from law enforcement or other government agencies.",share or transfer data
"Protect our customers to prevent spam or attempts to defraud users of our products, or to help prevent the loss of life or serious injury of anyone.",share or transfer data
"Operate and maintain the security of our products, including to prevent or stop an attack on our computer systems or networks.",share or transfer data
" If you provide personal data to any of those products, your data is governed by their privacy policies.",share or transfer data
"You can also make choices about the collection and use of your data by you and You can control your personal data has obtained, and exercise your data protection rights, by contacting or using various tools we provide. In some cases, your ability to access or control your personal data will be limited, as required or permitted by applicable law.",share or transfer data
"Not all personal data processed by can be accessed or controlled via the tools above and If you want to access or control personal data processed by that is not available via the tools above or directly through the products you use, you can always contact Microsoft at the address in the How to contact us section or by using our web form.",share or transfer data
We provide aggregate metrics about user requests to exercise their data protection rights via the Privacy Report.,share or transfer data
"This privacy Policy applies to this website, applications, messages, products and other services of the Company",changes and updates
"Research and improvement: use analytic tools to create new products and services, improve the functionality and quality of service",changes and updates
"As our Site evolves, this Privacy Policy will need to evolve as well to cover new situations",changes and updates
"To ensure that you are kept informed of changes, check this Privacy Policy periodically as we will update the date at the top of the document any time we make a change.",changes and updates
"If we make material changes to this Privacy Policy, we will post the revised policy on this page and will send a notice via email or our Site to all registered users of the Platform and Your continued use of our Site after any such changes constitutes your acceptance of the new Privacy Policy.",changes and updates
"If you do not agree to abide by these or any future version of the Privacy Policy, you do not have permission to use or access or continue to use or access our Site.",changes and updates
"This may modify this Agreement from time to time, and your continued use of the Collections and the Site constitutes your acceptance of any and all modifications.",changes and updates
"may make changes to this policy from time to time and will notify you of such changes by posting an updated date in the Terms, Privacy, and Copyright.",changes and updates
"Any information that we collect is subject to the privacy policy in effect at the time such information is collected We may, however, modify and revise this Privacy Policy from time to time.",changes and updates
"If we make any material changes to this Privacy Policy, we'll notify you of such changes by posting them on the Services or by sending you an email or other notification prior to the change becoming effective.",changes and updates
We will indicate when such changes will become effective.,changes and updates
"IP addresses and your mobile device's Identifier for Advertising the type of computer or mobile device you are using including operating system and version;the types of browser you are using, the language, and your country;referring and exit pages and URLs;platform type;the number of clicks on a page or feature, pages viewed and the order of those pages, the amount of time spent on particular pages or parts of pages;domain names and;information collected for performance purposes (e.g. average load, render time of pages, etc.). will be processed when you access the Service, to resolve the technical request of your device, display the site and maintain the safety and security of our systems",user information collection
"In order to provide you with functionalities, we need to process certain data and/or information relating to you:",user information collection
"If you choose to create a Member account on our Service, you will be required, during the registration process, to provide your first and last name, an email address, and a password.",user information collection
"During the registration process or when updating your profile, you can choose to provide other information that can be used to identify and/or contact you. ",user information collection
"You may also be invited or required to provide information about you, including, for example, demographic information, such as occupation, and research vita, education, authorship of articles, academic or research expertise or interests, conferences you have attended, groups of which you are a member, information regarding your professional and academic career, academic degree, your previous roles and jobs.",user information collection
"You can choose to create an account using your Facebook, LinkedIn or Google account and subsequently use that third party platforms credentials to log in to your account. ",user information collection
"When you communicate with us, you may provide us with your name, contact details, and other personal data as part of your communication, as well as the content of your message itself.",user information collection
"Similarly, when we communicate with you, we will process your personal information, such as your email address and for some of our emails, we also process information indicating whether you have opened the email.",user information collection
"Many communications that you initiate through our Service invitation sent to a non Member will list your name in the header of the message and other communications that you initiate through the Service, like a request for a full-text, will list your name as the initiator but will not include your personal email address.",user information collection
"In order to provide our recommendation features, we process contact and bibliographical data, information pertaining to your work, usage frequency, type of devices you use to use the Service, including browser, operating system and mobile device, research items you consulted, interaction with particular pages or parts of pages, and number of clicks on a page or feature, in order to provide the Service in a way that is tailored to your interests. ",user information collection
"If you choose to purchase a premium product or service from website that is subject to a fee, we will process the personal data that you provide in order to complete your order, such as your billing address.",user information collection
We process the number of profile pages users view to detect and prevent data harvesting and also process your IP address to filter out suspicious requests. ,user information collection
"We use activity data, such as number of read publications, projects and number of citations, to generate statistics, which pertain to reading behavior or achievements.",user information collection
"Generally speaking, we may, pursuant to Art use your data based on our legitimate interests to provide and improve our Service; to perform internal quality checks to prevent, detect, process and investigate malfunctions, incidents, fraudulent or other illegal activities, or mitigate the risk of occurrence of the aforementioned events to ensure network and information security to create statistics on access channels and the use of our Service to contact you, if requested by you or if necessary to fulfil the contract or permitted by law;enforcing obligations owed to us, and contractual terms and conditions and accounting, risk management and record keeping.",how use collected information
"The personal data you provide in connection with registering for your Member account will be used to create, maintain, and secure your account.",how use collected information
"Any personal data you provide in addition to the required data to register for an account, will facilitate your ability to get into contact with other Members, promote yourself and your research, and receive more relevant recommendations from our recommendation services.",how use collected information
"Depending on the way you are communicating with us, we may use your name, email address, telephone number, and the content of your previous correspondence to respond to you and provide assistance.",how use collected information
"Provided you have not opted out from receiving transactional emails from us, we will use your email address to send you emails about relevant developments on the Service concerning for example, your network, new features, publications, projects, updates from the Q&A section, and emails regarding your professional career.",how use collected information
"Where you have provided your prior consent to receiving sponsored emails, we will use your email address to send you such emails.",how use collected information
"Using our recommendation technology, we process your personal data or infer information in order to provide the Service in a way that is tailored to your interests. This enables us to customize the features and offerings we provides to you through the Service.",how use collected information
"We process your personal data in order to avoid its accidental or unlawful destruction, as well as its loss, alteration, or unauthorized disclosure.",how use collected information
We use your personal data to generate statistics which pertain to reading search behavior and achievements and also generate statistics for internal purposes in order to constantly improve the Service and its features and also conduct research and development to maintain quality and improve our Service and the User experience.,how use collected information
We also process personal data relating to Authors that is publicly available and relevant for our Service.,how use collected information
"We may obtain a variety of information about Authors from publicly available sources, such as information regarding previous research published, the publication itself (including personal data too) and other functions or references of an Author related to a publication. ",how use collected information
"We display advertisements on our Service so we can continue to offer many of our features for free and generate revenue by disseminating advertisements and allow selected partners to advertise their products, content, jobs and more, on our Service.",third parties and online advertising
"When advertisers or ad networks place advertisements on our Service, they may collect or we may share the performance data,aggregated and deidentified information about you and other Users collectively that is not intended to specifically identify you,certain technical information,other contextual data about our dissemination and your potential perception of advertisements.  of information from within our Service:",third parties and online advertising
Advertisers or ad networks may collect this information through the use of tracking technologies like browser cookies and web beacons,third parties and online advertising
"After clicking on a third-party advertisement, you may no longer be on a site hosted by our site and our website is not responsible for any third party, or its affiliates or agents, failing to use your personal data in accordance with such third party's privacy policy, or any contractual or other legal obligations to which such third party, its affiliates or agents, may be subject.",third parties and online advertising
 we and our advertising partners are able to present relevant advertisements to you and we will take your previous interactions with advertisements into account when determining whether to present you with subsequent advertisements and in subsequent segmentation effort and this is another way that we try to avoid providing you with advertisements that are not of interest to you.,third parties and online advertising
"We use Google Analytics to evaluate the usage behavior on our Service and for this web analysis service, Google uses cookies on our website to systematically evaluate the interactions of Users on our Service. ",third parties and online advertising
"The information generated by the cookie about the use of our Service by the user (e.g. truncated IP address, website currently visited, referrer, duration of stay, and frequency of the call of the website) is transferred to a Google server in Ireland. ",third parties and online advertising
"Google will use this information for the purpose of evaluating your use of the Service, compiling reports on website activity for us, and providing other services relating to website activity and Internet usage.",third parties and online advertising
The processed data can be used to create pseudonymous user profiles of Users and these data is deleted after 26 months. ,third parties and online advertising
"We also use the services of Lotame Solutions Inc, 8850 Stanford Blvd., Suite 4000, Columbia, MD 21045, USA and their service provides us with the capability of creating user segments which can subsequently be used to tailor delivery of advertisements and content to those user segments.",third parties and online advertising
"We also use the services of Cloudflare, Inc. ( 101 Townsend St., San Francisco, CA 94107, USA) and cloudflare helps us to provide our Service to our Users in the fastest way by ""copying"" our Service and putting it on servers that are geographically as close as possible to your current location.",third parties and online advertising
"We collect the information you provide when you sign up for a our account, log in to your account, communicate with us, answer our surveys, upload content, or otherwise use the Services. ",user information collection
"We request an email address and date of birth when you choose to sign up for the Service so we can provide the Services to you and allow us to comply with applicable regulations and Without this information, we are not be able to provide you with the Service.",user information collection
"Users who engage in financial transactions with our application, for example to purchase an upgraded membership subscription, are asked to provide additional information in order to complete the transaction, such as a credit card number, billing address and full name.",user information collection
You can choose to provide us with additional information in order to obtain a better user experience when using the Service.,user information collection
"We collect device-specific information (such as your hardware model, operating system version, device identifiers like IDFA and UDID, and mobile network information) and may associate your device identifiers or other device information with your Account to help us provide consistent services across your devices.",user information collection
We may use your IP address to generate a general approximation of where you are located in order to provide you with an improved experience. ,user information collection
"We do not request access to or collect location sensor information, such as GPS or Bluetooth beacons, from your mobile device while downloading or using our mobile apps or services.",user information collection
"When you use Quizlet, we automatically collect and store certain information about this activity and this data includes details of how you used our service, like your search queries, clicks and site navigation information, or study activity",user information collection
"We process the data we collect about you to operate, improve and develop the Quizlet Service, including providing, maintaining, securing and improving our services, developing new ones, and protecting our service and our users.",how use collected information
"We are able to deliver our services, personalize content, and make suggestions for you by using this information to understand how you use and interact with our services.",how use collected information
"We conduct surveys and research, test features in development, and analyze the information we have to evaluate and improve products and services, develop new products or features, and conduct audits and troubleshooting activities.",how use collected information
"Account information we collect from you allows us to help you log in, host your content, and use the various study tools we have and it also allows us learn about how you and others use our servicet to help create new activities and services.",how use collected information
"When you sign up and use a our account, we may associate certain information with your new account, such as information about our other accounts you had or currently have, and your prior usage of the Service.",how use collected information
"In order to develop and enhance our products and deliver a consistent, secure and continuous experience, we need gather certain information to analyze usage and performance of the Service.",how use collected information
We also use mobile analytics software to pursue our legitimate interests in operating and improving our service by allowing us to better understand the functionality of our mobile software on your device,how use collected information
"This software may record information such as how often you use the application, the events and activities that occur within the application, aggregated usage, performance data, and where the application was downloaded from.",how use collected information
 We may send you information about the parts of our software you use or that may be relevant to you,how use collected information
"While we primarily use our various product blogs to communicate this type of information and we expect to keep this type of email to a minimum, you may object to being contacted for these reasons using your personal contact information using the mechanisms provided in the service or using the information provided",how use collected information
"We will share personal information with companies, organizations or individuals outside when we have your consent to do so.",share or transfer data
"we provides personal and non-personal information to our partners, trusted organizations, vendors and other affiliated organizations to process it on our behalf. ",share or transfer data
" Our providers process data in accordance with our instructions, Privacy Notice and any other appropriate confidentiality, security or other requirements we deem necessary in order to comply with our obligations.",share or transfer data
"we will share all categories of personal information with companies, organizations or individuals outside of Quizlet if we have a good-faith belief that access, use, preservation or disclosure of the information is reasonably necessary to Respond to or meet any applicable law, regulation, legal process or other enforceable governmental request.",share or transfer data
"Under California law, we are required to tell California residents if we sell information as that term is defined by applicable law. ",share or transfer data
"California residents, we do not sell your personal information based on our understanding of that term and  also have disclosure obligations in Nevada.",share or transfer data
"In order to support the our business and provide our users with relevant information regarding the Service and opportunities presented by partners, we may use your personal information for marketing the Service.",third parties and online advertising
"We may also communicate with you and others about opportunities, products, services, contests, promotions, discounts, incentives, surveys, and rewards offered by us and select partners. ",third parties and online advertising
We may also displaying relevant advertising to you while using the Service.,third parties and online advertising
"we reserves the right to modify this Privacy Notice at any time, so please review it frequently and If we materially change how we use your personal information, we will notify, by email, and/or by means of a notice on our website prior to the change becoming effective.",changes and updates
"If we make material changes to how we collect and use personal information from children under the age of consent, we will notify parents by email and, when appropriate, obtain additional parental consent for the new uses of the child's personal information.",user information collection
"While we are intended for users age 13 and over, if a child requests access to our website we accommodate them by offering a limited feature set and restricted website experience that removes certain features. ",user information collection
We offer this restricted experience (Child Account) for accounts of all users below the age of 13 and for some users below the age of 16 where applicable under local law.,user information collection
"Where necessary, we use restricted versions of our third-party services (for example, Google Analytics) that limit data sharing and tracking on areas of our site and mobile apps that are accessed by children to support our internal operations.",third parties and online advertising
"When you create a user account, we collect your name, email address, username, and password and we may ask you to optionally provide demographic or other information such as your school, gender, age or birthdate, zip code, and information about your interests and preferences.",user information collection
"You may have the opportunity to create a profile which may include photographs, information about your academic and work history, and your interests and activities.",user information collection
"When you register to be a tutor, we will collect information from you such as your education and employment history, phone number, photo, country of residence, and information we need to process payments to you, such as your bank account information, social security number, or taxpayer identification number, as necessary to facilitate payment and to comply with related legal obligations.",user information collection
"We collect personal information from you such as email address, phone number, or mailing address when you request information about our Services, register for our newsletter or loyalty program, request customer or technical support, apply for a job, or otherwise communicate with us.",user information collection
"The Services may allow community members to communicate and collaborate with each other, including some Services that allow community members to engage in one-on-one communication using a video chat or text chat feature. ",user information collection
"Our servers may record, and we may retain records of the content of any such user-to-user communications.",user information collection
We will process your payment information if you purchase products or services through our Services and  we do not store payment credit or debit card numbers.,user information collection
"If you utilize the Services in a way that necessitates payment from Chegg to you (such as offering services for sale through Chegg or participating in research projects), we may collect additional information from you, such as your bank account information, social security number, or taxpayer identification number, as necessary to facilitate payment and to comply with related legal obligations.",user information collection
"We may contact you to participate in surveys and if you decide to participate, you may be asked to provide certain information which may include personal information.",user information collection
"ï¿½We may offer forums, blogs, or social media pages and any content you provide on these channels will be considered ï¿½publicï¿½ and is not subject to privacy protections.",user information collection
"We may collect certain information automatically when you use the Services including your Internet protocol (IP) address, user settings, MAC address, cookie identifiers, mobile carrier, mobile advertising and other unique identifiers, details about your browser, operating system or device, location information, Internet or mobile service provider, pages that you visit before, during and after using the Services, information about the links you click, and other information about how you use the Services, including information collected from interactive services (including our e-Reader), such as notes you take and engagement during study sessions.",user information collection
"In addition, we may automatically collect data regarding your use of our Services, such as the types of content you interact with and the frequency and duration of your activities and we may combine your information with information that other people provide when they use our Services, including information about you when they tag you.",user information collection
"We, as well as third parties that provide content, advertising, or other functionality on the Services, may use cookies, pixel tags, local storage, and other technologies (ï¿½Technologiesï¿½) to automatically collect information through the Services.",user information collection
"Technologies are essentially small data files placed on your computer, tablet, mobile phone, or other devices that allow us and our partners to record certain pieces of information whenever you visit or interact with our Services.",user information collection
"These cookies are strictly necessary to provide you with services available through our Websites and to use some of its features, such as access to secure areas and these include cookies that ensure security, prevent fraud, and debug where your data can be used to monitor for and prevent fraudulent activity, and ensure systems and processes work properly and securely and that technically deliver ads or content so your device can receive and send information that allows you to see and interact with ads and content.",user information collection
"Cookies, device identifiers, or other information can be stored or accessed on your device for the purposes presented to you.",user information collection
"Ads can be shown to you based on the content youï¿½re viewing, the app youï¿½re using, your approximate location, or your device type and also a profile can be built about you and your interests to show you personalized ads that are relevant to you. The performance and effectiveness of ads that you see or interact with can be measured.",user information collection
Data from offline data sources can be combined with your online activity in support of one or more purposes and different devices can be determined as belonging to you or your household in support of one or more of purposes.,user information collection
"ï¿½We may obtain information about you from other sources, including through third-party services and organizations to supplement information provided by you, as example, if you access our Services through a third-party application, such as an app store, a third-party login service, or a social networking site or you log in to a third partyï¿½s service using your credentials, we may collect information about you from that third-party application that you have made public via your privacy settings.ï¿½",user information collection
"Information we collect through these services may include your name, your user identification number, your user name, location, gender, birth date, email address or other contact information, profile picture, activities such as test completion and results, and your contacts stored in that service.",user information collection
"This supplemental information allows us to verify information that you have provided to us and to enhance our ability to provide you with information about our business, products, and Services",user information collection
We may also use Google Analytics and other service providers to collect information regarding visitor behavior and visitor demographics on our Services.,user information collection
"We use your information for a variety of business purposes, including to Managing your information and accounts; Providing access to certain areas, functionalities, and features of our Services including providing access to eBooks;Support the shipping, tracking and recovery of your orders (such as textbooks) and/or other products;",how use collected information
"We use your information for a variety of business purposes, including to Communicating with you about your account, activities on our Services and policy changes; Undertaking activities to verify or maintain the quality or safety of a service or device;Researching and developing products, services, marketing or security procedures to improve their performance, resilience, reliability or efficiency;Improving, upgrading or enhancing our Services or device;Developing new products and Services;Ensuring internal quality control;Verifying your identity and preventing fraud;Debugging to identify and repair errors that impair existing intended functionality;Enforcing our terms and policies; and Complying with our legal obligations, protecting your vital interest, or as may be required for the public good.",how use collected information
"We use your information for a variety of business purposes, including to Processing your financial information and other payment methods for products or Services purchased; Providing advertising, analytics and marketing services; Processing transactions and applications; Detecting security incidents, protecting against malicious, deceptive, fraudulent or illegal activity, and prosecuting those responsible for that activity; Measuring interest and engagement in our Services and short-term, transient use, such as contextual customization of ads; and Furnishing you with customized materials about offers, products, and Services that may be of interest,  including new content or Services; Auditing relating to interactions, transactions and other compliance activities; and Other purposes you consent to, are notified of, or are disclosed when you provide personal information.",how use collected information
"We may use technologies considered automated decision making or profiling. We will not make automated decisions about you that would significantly affect you, unless such a decision is necessary as part of a contract we have with you, we have your consent, or we are permitted by law to use such technology. You may escalate any concerns you have by contacting us below.",how use collected information
"We may disclose your information, including personal information upon request of an academic institution connected to an investigation into academic integrity.",how use collected information
"ï¿½We may use personal information and other data about you to create de-identified and aggregated information, such as de-identified demographic information, de-identified location information, information about the computer or device from which you access our Services, or other analyses we create.",how use collected information
The Services may offer referral features whereby users may invite friends to use the Services. We will invite the referred individual through a one-time email and will not use this information for other purposes.,how use collected information
"Additionally, we may enable you to ï¿½likeï¿½ a product within our Services. If you choose to ""like"" or ""share"" content or to otherwise post information from or via the Services to a third-party web site, feature or application, that information may be publicly displayed, and the third-party web site may have access to information about you and your use of our Services.",how use collected information
"Your browsing activity may be tracked across different websites and different devices or apps, as example, we may attempt to match your browsing activity on your mobile device with your browsing activity on your laptop and to do this our technology partners may share data, such as your browsing patterns, geo-location and device identifiers, and will match the information of the browser and devices that appear to be used by the same person.",how use collected information
We display personal testimonials of satisfied customers on our Services in addition to other endorsements.ï¿½,how use collected information
"ï¿½With your consent we may post your testimonial along with your name and if you wish to update or delete your testimonial, you can contact us ",changes and updates
"The Services may contain links to other websites, and other websites may reference or link to our website or other Services and these other websites are not controlled by us.ï¿½",third parties and online advertising
These advertising partners may use this information (and similar information collected from other websites) for purposes of delivering targeted advertisements to you when you visit the third-party websites within their networks.ï¿½,third parties and online advertising
"We may allow access to other data collected by the Services to share information that may be useful, relevant, valuable or otherwise of interest to you. If you prefer not to share your personal information with third-party advertising partners",third parties and online advertising
"Through our Services, we may allow third-party advertising partners to set technologies and other tracking tools to collect information regarding your activities and your device (e.g., your IP address, mobile identifiers, page(s) visited, location, time of day).",third parties and online advertising
"We may also send you certain non-promotional communications regarding us and our Services, and you will not be able to opt out of those communications (e.g., communications regarding the Services or updates to our Terms or this Privacy Policy",third parties and online advertising
ï¿½We may use third-party APIs and software development kits (ï¿½SDKsï¿½) as part of the functionality of our Services and APIs and SDKs may allow third parties including analytics and advertising partners to collect your personal information for various purposes including to provide analytics services and content that is more relevant to you.ï¿½,third parties and online advertising
"Our Services may include publicly accessible blogs, forums, social media pages, and private messaging features.ï¿½",share or transfer data
"By using such Services, you assume the risk that the personal information provided by you may be viewed and used by third parties for any number of purposes.ï¿½",share or transfer data
"ï¿½In addition, social media buttons such as Facebook, Instagram, YouTube, Twitter, Pinterest, and LinkedIn (that might include widgets such as the ï¿½share thisï¿½ button or other interactive mini-programs) may be on our site and these features may collect your IP address, which page you are visiting on our site, and may set a cookie to enable the feature to function properly. ",share or transfer data
These social media features are either hosted by a third party or hosted directly on our site. Your interactions with these features apart from your visit to our site are governed by the privacy policy of the company providing it.,share or transfer data
"If you receive an unwanted email from us, you can use the unsubscribe link found at the bottom of the email to opt out of receiving future emails.ï¿½",share or transfer data
"We process requests to be placed on do-not-mail, do-not-phone and do-not-contact lists as required by applicable law.",share or transfer data
 We may also combine and share such information and other information (such as demographic information and past purchase history) with third-party advertising partners.ï¿½,share or transfer data
"We may share information that we may collect from you, such as your email (in hashed, de-identified form), IP address, or information about your browser or operating system with our partner, LiveRamp Inc and its group companies (ï¿½LiveRampï¿½).ï¿½",share or transfer data
"We may access, preserve, and disclose any information we store associated with you to external parties if we, in good faith, believe doing so is required or appropriate to: comply with law enforcement or national security requests and legal process, such as a court order or subpoena; protect your, our or othersï¿½ rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity.",share or transfer data
"When you visit the Site, we automatically collect certain information about your device, including information about your web browser, IP address, time zone, and some of the cookies that are installed on your device.",user information collection
"As you browse the Site, we collect information about the individual web pages or products that you view, what websites or search terms referred you to the Site, and information about how you interact with the Site.",user information collection
We refer to this automatically collected information as Device Information.,user information collection
"We collect device information using,Cookies are data files that are placed on your device or computer and often include an anonymous unique identifier Log files, and User Accounts, track actions occurring on the Site, and collect data including your IP address, browser type, Internet service provider, referring exit pages, and date,time stamps, Web beacons, tags, and pixels are electronic files used to record information about how you browse the Site.",user information collection
"Additionally when you make a purchase or attempt to make a purchase through the Site, we collect certain information from you, including your name, billing address, shipping address, payment information (including credit card numbers, email address, and phone number.",user information collection
"We use the Order Information that we collect generally to fulfill any orders placed through the Site including processing your payment information, arranging for shipping, and providing you with invoices and order confirmations.",how use collected information
